id	uri	siglaTipo	codTipo	numero	ano	ementa	ementa_simplificada	apreciacao	e_urgencia	e_projeto_resoluç�
2407960	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2407960	REQ	392	4124	2023	Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, que seja incluído automaticamente na Ordem do Dia o Projeto de Lei nº 3954/2023, que altera a Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para determinar o modo de disputa fechado nas licitações de obras e serviços que especifica, facultar a adesão de Município a ata de registro de preços licitada por outro ente do mesmo nível federativo, dispor sobre a execução e liquidação do objeto remanescente de contrato administrativo rescindido, permitir a prestação de garantia na forma de título de capitalização epromover a gestão e a aplicação eficientes dos recursos oriundos de convên	requer, nos termos do artigo 155 do regimento interno da câmara dos deputados, que seja incluído automaticamente na ordem do dia o projeto de lei n 3954/2023, que altera a lei n 14.133, de 1 de abril de 2021 (lei de licitações e contratos administrativos), para determinar o modo de disputa fechado nas licitações de obras e serviços que especifica, facultar a adesão de município a ata de registro de preços licitada por outro ente do mesmo nível federativo, dispor sobre a execução e liquidação do objeto remanescente de contrato administrativo rescindido, permitir a prestação de garantia na forma de título de capitalização e promover a gestão e a aplicação eficientes dos recursos oriundos de convênios	projeto de lei n 3954/2023	FALSE	FALSE
2258776	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2258776	REQ	392	1963	2020	Requer a urgência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, para apreciação do Projeto de Lei nº 3914, de 	requer a urgência, nos termos do art. 155 do regimento interno da câmara dos deputados, para apreciação do projeto de lei n 3914, de 2	projeto de lei n 3914, de 2020	TRUE	FALSE
619300	https://dadosabertos.camara.leg.br/api/v2/proposicoes/619300	REQ	392	10477	2014	Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 39, de 1999, que dispõe sobre a Regulamentação da Profissão de Agente de Segurança Privada e dá outras p	requer, nos termos do artigo 155 do regimento interno da câmara dos deputados, urgência para apreciação do projeto de lei n 39, de 1999, que dispõe sobre a regulamentação da profissão de agente de segurança privada e dá outras pr	projeto de lei n 39, de 1999	TRUE	FALSE
544275	https://dadosabertos.camara.leg.br/api/v2/proposicoes/544275	REQ	392	5251	2012	"Requer urgência, nos termos do Art. 155, do Regimento Interno da Câmara dos Deputados, para apreciação do Projeto de Lei nº 3846, de 2012 que \Estabelece regras para a recuperação das áreas de preservação permanen""."""	"requer urgência, nos termos do art. 155, do regimento interno da câmara dos deputados, para apreciação do projeto de lei n 3846, de 2012 que \estabelece regras para a recuperação das áreas de preservação permanent""."""	projeto de lei n 3846, de 2012	TRUE	FALSE
2319772	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2319772	REQ	392	556	2022	Requer urgência para apreciação do Projeto de Lei nº 3781 de 2	requer urgência para apreciação do projeto de lei n 3781 de 20	projeto de lei n 3781 de 2021	TRUE	FALSE
2259377	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2259377	REQ	392	2055	2020	Requer Urgência Urgentíssima para a tramitação do Projeto de Lei nº 3715/2020, e a imediata inclusão na Ordem do Dia, no Plenário da Câmara dos De	requer urgência urgentíssima para a tramitação do projeto de lei n 3715/2020, e a imediata inclusão na ordem do dia, no plenário da câmara dos dep	projeto de lei n 3715/2020	TRUE	FALSE
2178115	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2178115	REQ	392	8793	2018	Requer Urgência na apreciação do Projeto de Lei nº 3695, de 2015, que concede anistia aos bombeiros militares do Estado do Rio de Janeiro aprovados no concurso público para fins de ingresso na corporação militar realizado no ano d	requer urgência na apreciação do projeto de lei n 3695, de 2015, que concede anistia aos bombeiros militares do estado do rio de janeiro aprovados no concurso público para fins de ingresso na corporação militar realizado no ano de	projeto de lei n 3695, de 2015	TRUE	FALSE
2311733	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2311733	REQ	392	2784	2021	Requer urgência urgentíssima para a apreciação do Projeto de Lei nº 3662, de 	requer urgência urgentíssima para a apreciação do projeto de lei n 3662, de 2	projeto de lei n 3662, de 2021	TRUE	FALSE
2390327	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2390327	REQ	392	3288	2023	Requer regime de tramitação de urgência para a apreciação do Projeto de Lei nº 3642/2023, que “Dispõe sobre a incorporação obrigatória do medicamento metilfenidato para o tratamento do Transtorno do Déficit de Atenção e Hiperatividade (TDAH) no Sistema Único de Saúde (SUS) e dá out	requer regime de tramitação de urgência para a apreciação do projeto de lei n 3642/2023, que “dispõe sobre a incorporação obrigatória do medicamento metilfenidato para o tratamento do transtorno do déficit de atenção e hiperatividade (tdah) no sistema único de saúde (sus) e dá outr	projeto de lei n 3642/2023	TRUE	FALSE
2404297	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2404297	REQ	392	3954	2023	Requerem, nos termos do art. 155 do Regimento Interno, urgência para votação do Projeto de Lei nº 3621/2	requerem, nos termos do art. 155 do regimento interno, urgência para votação do projeto de lei n 3621/20	projeto de lei n 3621/2023	TRUE	FALSE
542877	https://dadosabertos.camara.leg.br/api/v2/proposicoes/542877	REQ	392	5092	2012	"Requer, em caráter de urgência, a inclusão na Ordem do Dia do Projeto de Lei nº 3592 de 2012, que \Dispõe sobre a regulamentação do exercício da profissão de come"""""	"requer, em caráter de urgência, a inclusão na ordem do dia do projeto de lei n 3592 de 2012, que \dispõe sobre a regulamentação do exercício da profissão de comer"""""	projeto de lei n 3592 de 2012	TRUE	FALSE
2055564	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2055564	REQ	392	3570	2015	Requerimento de urgência para apreciação do Projeto de Lei nº 3563, de 2015, que Dispõe sobre o pagamento de indenizações e contratação de seguro no caso de rompimento de b	requerimento de urgência para apreciação do projeto de lei n 3563, de 2015, que dispõe sobre o pagamento de indenizações e contratação de seguro no caso de rompimento de ba	projeto de lei n 3563, de 2015	TRUE	FALSE
2169399	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2169399	REQ	392	8268	2018	Requer urgência para a votação do Projeto de Lei nº 3553 2	requer urgência para a votação do projeto de lei n 3553 20	projeto de lei n 3553 2015	TRUE	FALSE
2233627	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2233627	REQ	392	3204	2019	Regimento Interno da Câmara dos Deputados, urgêcia para apreciação do Projeto de Lei nº 3503, de 	regimento interno da câmara dos deputados, urgêcia para apreciação do projeto de lei n 3503, de 2	projeto de lei n 3503, de 2019	FALSE	FALSE
